PERMNO,date,TICKER,RET,vwretd
14593,2013-12-02,AAPL,-0.008704,-0.003638
14593,2013-12-03,AAPL,0.027379,-0.003715
14593,2013-12-04,AAPL,-0.002334,-0.000941
14593,2013-12-05,AAPL,0.005135,-0.003514
14593,2013-12-06,AAPL,-0.013877,0.009683
14593,2013-12-09,AAPL,0.011446,0.001868
14593,2013-12-10,AAPL,-0.001554,-0.002813
14593,2013-12-11,AAPL,-0.007409,-0.012070
14593,2013-12-12,AAPL,-0.001461,-0.002543
14593,2013-12-13,AAPL,-0.010900,0.001277
14593,2013-12-16,AAPL,0.005537,0.006445
14593,2013-12-17,AAPL,-0.004502,-0.002344
14593,2013-12-18,AAPL,-0.007604,0.014462
14593,2013-12-19,AAPL,-0.011457,-0.001026
14593,2013-12-20,AAPL,0.008375,0.006904
14593,2013-12-23,AAPL,0.038377,0.006229
14593,2013-12-24,AAPL,-0.004245,0.003476
14593,2013-12-26,AAPL,-0.006641,0.003993
14593,2013-12-27,AAPL,-0.006757,-0.000061
14593,2013-12-30,AAPL,-0.009945,0.000277
14593,2013-12-31,AAPL,0.011722,0.004255
14593,2014-01-02,AAPL,-0.014064,-0.008757
14593,2014-01-03,AAPL,-0.021966,0.000491
14593,2014-01-06,AAPL,0.005453,-0.003340
14593,2014-01-07,AAPL,-0.007156,0.006090
14593,2014-01-08,AAPL,0.006338,0.000155
14593,2014-01-09,AAPL,-0.012772,0.000090
14593,2014-01-10,AAPL,-0.006671,0.003567
14593,2014-01-13,AAPL,0.005235,-0.011641
14593,2014-01-14,AAPL,0.019898,0.010257
14593,2014-01-15,AAPL,0.020077,0.005066
14593,2014-01-16,AAPL,-0.005580,-0.000279
14593,2014-01-17,AAPL,-0.024502,-0.003454
14593,2014-01-21,AAPL,0.015536,0.003351
14593,2014-01-22,AAPL,0.004444,0.001484
14593,2014-01-23,AAPL,0.008468,-0.008159
14593,2014-01-24,AAPL,-0.018178,-0.021135
14593,2014-01-27,AAPL,0.008112,-0.006632
14593,2014-01-28,AAPL,-0.079927,0.007293
14593,2014-01-29,AAPL,-0.011352,-0.009930
14593,2014-01-30,AAPL,-0.001933,0.011487
14593,2014-01-31,AAPL,0.001637,-0.005796
14593,2014-02-03,AAPL,0.001858,-0.023197
14593,2014-02-04,AAPL,0.014476,0.007612
14593,2014-02-05,AAPL,0.007469,-0.001952
14593,2014-02-06,AAPL,0.005794,0.011924
14593,2014-02-07,AAPL,0.013990,0.012595
14593,2014-02-10,AAPL,0.017915,0.001576
14593,2014-02-11,AAPL,0.013176,0.010599
14593,2014-02-12,AAPL,-0.000075,0.001149
14593,2014-02-13,AAPL,0.015879,0.006957
14593,2014-02-14,AAPL,-0.000808,0.004104
14593,2014-02-18,AAPL,0.003677,0.003182
14593,2014-02-19,AAPL,-0.015788,-0.006797
14593,2014-02-20,AAPL,-0.011575,0.006440
14593,2014-02-21,AAPL,-0.011108,-0.000817
14593,2014-02-24,AAPL,0.004379,0.006174
14593,2014-02-25,AAPL,-0.010407,-0.001268
14593,2014-02-26,AAPL,-0.009022,0.001034
14593,2014-02-27,AAPL,0.019948,0.004900
14593,2014-02-28,AAPL,-0.002710,0.001673
14593,2014-03-03,AAPL,0.002888,-0.006637
14593,2014-03-04,AAPL,0.006594,0.015433
14593,2014-03-05,AAPL,0.002108,0.000357
14593,2014-03-06,AAPL,-0.003024,0.001723
14593,2014-03-07,AAPL,-0.000584,-0.000796
14593,2014-03-10,AAPL,0.000905,-0.001258
14593,2014-03-11,AAPL,0.009738,-0.005526
14593,2014-03-12,AAPL,0.000970,0.001300
14593,2014-03-13,AAPL,-0.011107,-0.011137
14593,2014-03-14,AAPL,-0.011232,-0.001383
14593,2014-03-17,AAPL,0.003907,0.008275
14593,2014-03-18,AAPL,0.008847,0.007665
14593,2014-03-19,AAPL,-0.000263,-0.006779
14593,2014-03-20,AAPL,-0.004819,0.004709
14593,2014-03-21,AAPL,0.007887,-0.002864
14593,2014-03-24,AAPL,0.011860,-0.006075
14593,2014-03-25,AAPL,0.010757,0.003439
14593,2014-03-26,AAPL,-0.009560,-0.008153
14593,2014-03-27,AAPL,-0.004298,-0.001045
14593,2014-03-28,AAPL,-0.001116,0.004470
14593,2014-03-31,AAPL,-0.000224,0.009182
14593,2014-04-01,AAPL,0.009148,0.008258
14593,2014-04-02,AAPL,0.001662,0.002821
14593,2014-04-03,AAPL,-0.006930,-0.003118
14593,2014-04-04,AAPL,-0.012936,-0.012591
14593,2014-04-07,AAPL,-0.015701,-0.011655
14593,2014-04-08,AAPL,-0.000057,0.005386
14593,2014-04-09,AAPL,0.013144,0.011291
14593,2014-04-10,AAPL,-0.012898,-0.020774
14593,2014-04-11,AAPL,-0.007393,-0.009794
14593,2014-04-14,AAPL,0.003984,0.006520
14593,2014-04-15,AAPL,-0.007131,0.005170
14593,2014-04-16,AAPL,0.002027,0.010627
14593,2014-04-17,AAPL,0.011426,0.002272
14593,2014-04-21,AAPL,0.011868,0.003484
14593,2014-04-22,AAPL,0.000996,0.005567
14593,2014-04-23,AAPL,-0.013069,-0.002758
14593,2014-04-24,AAPL,0.081982,0.000719
14593,2014-04-25,AAPL,0.007344,-0.009470
14593,2014-04-28,AAPL,0.038728,0.001060
14593,2014-04-29,AAPL,-0.002963,0.005627
14593,2014-04-30,AAPL,-0.003782,0.003405
14593,2014-05-01,AAPL,0.002355,0.000772
14593,2014-05-02,AAPL,0.001860,-0.000260
14593,2014-05-05,AAPL,0.014142,0.001302
14593,2014-05-06,AAPL,-0.010899,-0.008724
14593,2014-05-07,AAPL,-0.003499,0.004403
14593,2014-05-08,AAPL,-0.001773,-0.002682
14593,2014-05-09,AAPL,-0.004163,0.001571
14593,2014-05-12,AAPL,0.012446,0.011167
14593,2014-05-13,AAPL,0.001569,-0.000666
14593,2014-05-14,AAPL,0.000185,-0.004726
14593,2014-05-15,AAPL,-0.008504,-0.008375
14593,2014-05-16,AAPL,0.014758,0.003401
14593,2014-05-19,AAPL,0.011849,0.004287
14593,2014-05-20,AAPL,0.000198,-0.006933
14593,2014-05-21,AAPL,0.002646,0.007421
14593,2014-05-22,AAPL,0.001583,0.003498
14593,2014-05-23,AAPL,0.011296,0.004761
14593,2014-05-27,AAPL,0.018726,0.005896
14593,2014-05-28,AAPL,-0.002589,-0.001316
14593,2014-05-29,AAPL,0.018221,0.004918
14593,2014-05-30,AAPL,-0.003746,0.000641
14593,2014-06-02,AAPL,-0.006872,0.000707
14593,2014-06-03,AAPL,0.014141,-0.000369
14593,2014-06-04,AAPL,0.011419,0.002554
14593,2014-06-05,AAPL,0.003924,0.007261
14593,2014-06-06,AAPL,-0.002750,0.005115
14593,2014-06-09,AAPL,0.016001,0.001870
14593,2014-06-10,AAPL,0.005870,-0.000362
14593,2014-06-11,AAPL,-0.004138,-0.003074
14593,2014-06-12,AAPL,-0.016727,-0.005675
14593,2014-06-13,AAPL,-0.010944,0.003056
14593,2014-06-16,AAPL,0.010079,0.001411
14593,2014-06-17,AAPL,-0.001301,0.002951
14593,2014-06-18,AAPL,0.001086,0.006963
14593,2014-06-19,AAPL,-0.003471,0.001678
14593,2014-06-20,AAPL,-0.010342,0.002081
14593,2014-06-23,AAPL,-0.000880,0.000131
14593,2014-06-24,AAPL,-0.006055,-0.006979
14593,2014-06-25,AAPL,0.000886,0.005115
14593,2014-06-26,AAPL,0.005976,-0.000561
14593,2014-06-27,AAPL,0.011881,0.002890
14593,2014-06-30,AAPL,0.010328,0.001035
14593,2014-07-01,AAPL,0.006349,0.006789
14593,2014-07-02,AAPL,-0.000428,-0.000317
14593,2014-07-03,AAPL,0.005884,0.004968
14593,2014-07-07,AAPL,0.020610,-0.006110
14593,2014-07-08,AAPL,-0.006440,-0.007345
14593,2014-07-09,AAPL,0.000420,0.004480
14593,2014-07-10,AAPL,-0.003722,-0.004858
14593,2014-07-11,AAPL,0.001947,0.000777
14593,2014-07-14,AAPL,0.012917,0.004563
14593,2014-07-15,AAPL,-0.011716,-0.003284
14593,2014-07-16,AAPL,-0.005665,0.003751
14593,2014-07-17,AAPL,-0.017832,-0.010966
14593,2014-07-18,AAPL,0.014396,0.010250
14593,2014-07-21,AAPL,-0.005200,-0.002171
14593,2014-07-22,AAPL,0.008314,0.005105
14593,2014-07-23,AAPL,0.026077,0.001843
14593,2014-07-24,AAPL,-0.001646,0.000244
14593,2014-07-25,AAPL,0.006606,-0.005025
14593,2014-07-28,AAPL,0.013812,-0.000513
14593,2014-07-29,AAPL,-0.006463,-0.003659
14593,2014-07-30,AAPL,-0.002338,0.000540
14593,2014-07-31,AAPL,-0.025981,-0.019359
14593,2014-08-01,AAPL,0.005544,-0.003442
14593,2014-08-04,AAPL,-0.005617,0.007129
14593,2014-08-05,AAPL,-0.004917,-0.008884
14593,2014-08-06,AAPL,-0.001682,0.000300
14593,2014-08-07,AAPL,-0.000105,-0.004897
14593,2014-08-08,AAPL,0.002752,0.010292
