PERMNO,date,vwretd
14593,2013-12-02,-0.003638
14593,2013-12-03,-0.003715
14593,2013-12-04,-0.000941
14593,2013-12-05,-0.003514
14593,2013-12-06,0.009683
14593,2013-12-09,0.001868
14593,2013-12-10,-0.002813
14593,2013-12-11,-0.012070
14593,2013-12-12,-0.002543
14593,2013-12-13,0.001277
14593,2013-12-16,0.006445
14593,2013-12-17,-0.002344
14593,2013-12-18,0.014462
14593,2013-12-19,-0.001026
14593,2013-12-20,0.006904
14593,2013-12-23,0.006229
14593,2013-12-24,0.003476
14593,2013-12-26,0.003993
14593,2013-12-27,-0.000061
14593,2013-12-30,0.000277
14593,2013-12-31,0.004255
14593,2014-01-02,-0.008757
14593,2014-01-03,0.000491
14593,2014-01-06,-0.003340
14593,2014-01-07,0.006090
14593,2014-01-08,0.000155
14593,2014-01-09,0.000090
14593,2014-01-10,0.003567
14593,2014-01-13,-0.011641
14593,2014-01-14,0.010257
14593,2014-01-15,0.005066
14593,2014-01-16,-0.000279
14593,2014-01-17,-0.003454
14593,2014-01-21,0.003351
14593,2014-01-22,0.001484
14593,2014-01-23,-0.008159
14593,2014-01-24,-0.021135
14593,2014-01-27,-0.006632
14593,2014-01-28,0.007293
14593,2014-01-29,-0.009930
14593,2014-01-30,0.011487
14593,2014-01-31,-0.005796
14593,2014-02-03,-0.023197
14593,2014-02-04,0.007612
14593,2014-02-05,-0.001952
14593,2014-02-06,0.011924
14593,2014-02-07,0.012595
14593,2014-02-10,0.001576
14593,2014-02-11,0.010599
14593,2014-02-12,0.001149
14593,2014-02-13,0.006957
14593,2014-02-14,0.004104
14593,2014-02-18,0.003182
14593,2014-02-19,-0.006797
14593,2014-02-20,0.006440
14593,2014-02-21,-0.000817
14593,2014-02-24,0.006174
14593,2014-02-25,-0.001268
14593,2014-02-26,0.001034
14593,2014-02-27,0.004900
14593,2014-02-28,0.001673
14593,2014-03-03,-0.006637
14593,2014-03-04,0.015433
14593,2014-03-05,0.000357
14593,2014-03-06,0.001723
14593,2014-03-07,-0.000796
14593,2014-03-10,-0.001258
14593,2014-03-11,-0.005526
